Mii Channel Music
Nintendo
114
1,0
2,1
3,1.5
2,2.5
1,3.5
0,4
0,4.5
0,5
0,7.5
1,8
2,8.5
3,9
4,9.5
3,10.5
2,11.5
H4,12;2
3,13.5
2,14
1,16
4,17
3,17.5
4,18.5
1,19.5
4,20.5
3,21.5
2,22
1,23
0,24
1,24
0,24.5
1,24.5
0,25
1,25
1,27
0,27
1,27.5
0,27.5
1,28
0,28
H3,30;2
H2,31;2
1,32
2,33
3,33.5
2,34.5
1,35.5
0,36
0,36.5
0,37
4,38
4,38.5
4,39
1,40.5
2,41
3,41.5
2,42.5
1,43.5
H4,44;4
3,46
4,48
3,48.5
2,49
1,49.5
4,50.5
3,51
2,51.5
3,52
2,52.5
1,53
0,53.5
3,54.5
2,55
1,55.5
1,56
2,56
1,56.5
2,56.5
1,57
2,57
H1,59.5;1
2,60
H2,60.5;1
3,61
H3,61.5;1
4,62
H0,66;2
H1,67;2
H3,68;3
2,69.5
H3,70;6
0,73
1,73.5
2,74
H3,74.5;1
2,75.5
H3,76;3
2,77.5
H3,78;8
H2,82;2
H3,83;2
H4,84;3
3,85.5
H4,86;6
1,89
2,89.5
3,90
H4,90.5;1
3,91.5
H4,92;3
3,93.5
H2,94;8

